,home_formation,home_position,away_formation,away_position,minute,ball_possession,home_goal
0,3421,"[1, 3, 4, 5, 7, 8, 9, 11, 18, 20, 23]",4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",0,0.4608695652173913,-2
1,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",26,0.44692737430167595,1
2,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",45,0.41323529411764703,-1
3,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",59,0.42313323572474376,-1
4,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",343,"[1, 3, 4, 5, 7, 8, 9, 11, 17, 21, 23]",0,0.6907894736842105,1
5,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.6998468606431854,1
6,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",15,0.6617745163442295,-1
7,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",53,0.24193548387096775,0
8,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",56,0.6504065040650406,-1
9,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",70,0.8367346938775511,1
10,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.7007594936708861,-2
11,4231,"[1, 2, 3, 5, 6, 9, 15, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",55,0.6131078224101479,0
12,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.7906772207563765,0
13,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",27,0.587467362924282,1
14,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",45,0.5353159851301115,1
15,4411,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 19, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.40912280701754383,1
16,4411,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 19, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",37,0.49361702127659574,0
